glm,lda,qda,bs,forest,svm,nb,NA.,data,ncases,npreds
0.8942905596,0.8976823064,0.8185415489,0.927642736,0.9265121538,0.1136235161,0.8818541549,NA,9,299,12
0.8642241379,0.8658405172,0.7990301724,0.8636853448,0.8949353448,0.1492456897,0.833512931,NA,9,299,12
0.7824808936,0.7818930041,0.7207524985,0.7865961199,0.8571428571,0.7877718989,0.708994709,NA,9,299,12
0.8496767241,0.8701508621,0.7322198276,0.8653017241,0.8900862069,0.1815732759,0.8049568966,NA,9,299,12
0.8030753968,0.7893518519,0.7625661376,0.6741071429,0.8078703704,0.6876653439,0.7380952381,NA,10,579,10
0.7862903226,0.7837096774,0.7746774194,0.734516129,0.7735483871,0.7020967742,0.7487096774,NA,10,579,10
0.7253269917,0.6801426873,0.7089774078,0.6843043995,0.7529726516,0.5741676576,0.7245838288,NA,10,579,10
0.7391640867,0.6944659443,0.7600619195,0.7261996904,0.7029798762,0.6406733746,0.7370356037,NA,10,579,10
0.7714860111,0.7182107556,0.7543977216,0.7002848048,0.7480314961,0.3214943877,0.7510470766,NA,10,579,10
0.7674825175,0.752972028,0.7309440559,0.7559440559,0.773951049,0.7166083916,0.7391608392,NA,10,579,10
0.742086387,0.7448931857,0.7523779822,0.5755496647,0.7500389833,0.6602214252,0.7668797755,NA,10,579,10
0.7403711212,0.7286761266,0.7133946671,0.6508654296,0.7547169811,0.3588024326,0.7480118509,NA,10,579,10
0.7841292384,0.7486241789,0.7500443813,0.703887804,0.7898100479,0.3467069057,0.7741878218,NA,10,579,10
0.7468584656,0.7372685185,0.7551256614,0.6734457672,0.7544642857,0.7119708995,0.7435515873,NA,10,579,10
0.7828671329,0.765034965,0.7276223776,0.651048951,0.7652097902,0.326048951,0.7354895105,NA,10,579,10
0.7407407407,0.7231968811,0.7698305593,0.6702654071,0.7657819763,0.6125356125,0.7326435747,NA,10,579,10
0.6897959184,0.7131428571,0.715755102,0.6630204082,0.7227755102,0.6471836735,0.7116734694,NA,10,579,10
0.7937678003,0.7733288658,0.7771821076,0.7252471101,0.7719886078,0.7396548836,0.7728262691,NA,10,579,10
0.7364897178,0.7254901961,0.6594930655,0.6604495457,0.7082735533,0.3451299219,0.7098676869,NA,10,579,10
0.8118612833,0.7718210756,0.7376444966,0.6091472608,0.7838833976,0.7074886916,0.7373094321,NA,10,579,10
0.7895794941,0.7533925281,0.7450159156,0.6327693081,0.7518847378,0.3157982912,0.7756743173,NA,10,579,10
0.779020979,0.7561188811,0.7367132867,0.6737762238,0.7440559441,0.3089160839,0.7356643357,NA,10,579,10
0.7459876543,0.7035493827,0.7453703704,0.6981481481,0.7356481481,0.6716049383,0.7314814815,NA,10,579,10
0.7448433919,0.7295645531,0.7498854087,0.6531703591,0.7718869366,0.3156608098,0.7393430099,NA,10,579,10
0.7401755853,0.7431020067,0.7336956522,0.720735786,0.7909698997,0.2686036789,0.7652591973,NA,11,480,9
0.8463980464,0.8476190476,0.7863247863,0.7623931624,0.8412698413,0.7792429792,0.8376068376,NA,11,480,9
0.6913461538,0.6891826923,0.6995192308,0.7221153846,0.7545673077,0.2735576923,0.7129807692,NA,11,480,9
0.7388636364,0.7395454545,0.7690909091,0.7252272727,0.8379545455,0.2177272727,0.7920454545,NA,11,480,9
0.775106383,0.7721276596,0.7404255319,0.709787234,0.7540425532,0.2185106383,0.7529787234,NA,11,480,9
0.7520454545,0.7479545455,0.7281818182,0.7590909091,0.8104545455,0.7538636364,0.7445454545,NA,11,480,9
0.7892551893,0.7897435897,0.7606837607,0.6332112332,0.7645909646,0.1938949939,0.7252747253,NA,11,480,9
0.7170212766,0.7153191489,0.6819148936,0.7555319149,0.7553191489,0.7338297872,0.7191489362,NA,11,480,9
0.7326007326,0.7345543346,0.7448107448,0.7938949939,0.8214896215,0.2063492063,0.7528693529,NA,11,480,9
0.6827272727,0.6756818182,0.6770454545,0.6870454545,0.6938636364,0.2965909091,0.6922727273,NA,11,480,9
0.7824074074,0.7826646091,0.7065329218,0.7391975309,0.7692901235,0.2510288066,0.7222222222,NA,11,480,9
0.6811363636,0.6745454545,0.7454545455,0.6488636364,0.7434090909,0.2709090909,0.7415909091,NA,11,480,9
0.7377403846,0.7346153846,0.7617788462,0.7341346154,0.7762019231,0.1735576923,0.7721153846,NA,11,480,9
0.6983173077,0.7004807692,0.6576923077,0.6016826923,0.6879807692,0.3572115385,0.6653846154,NA,11,480,9
0.7346938776,0.7431233363,0.7176131322,0.7085181899,0.7488908607,0.2828305235,0.7351375333,NA,11,480,9
